exp,at,etp,atp,rep,medium,ploidy,bcpexp,bcpwell,set,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,bc20,bc21,bc22,bc23
0_M1_0_R1,competition,0,0,1,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_0_R2,competition,0,0,2,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_0_R3,competition,0,0,3,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_0_R4,competition,0,0,4,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_25_R1,competition,25,0,1,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_25_R2,competition,25,0,2,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_25_R3,competition,25,0,3,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M1_25_R4,competition,25,0,4,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_0_R1,competition,0,2,1,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_0_R2,competition,0,2,2,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_0_R3,competition,0,2,3,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_0_R4,competition,0,2,4,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_25_R1,competition,25,2,1,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_25_R2,competition,25,2,2,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_25_R3,competition,25,2,3,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M1_25_R4,competition,25,2,4,CM,haploid,13,2,M1,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M10_0_R1,competition,0,0,1,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R2,competition,0,0,2,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R3,competition,0,0,3,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_0_R4,competition,0,0,4,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R1,competition,25,0,1,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R2,competition,25,0,2,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R3,competition,25,0,3,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M10_25_R4,competition,25,0,4,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R1,competition,0,2,1,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R2,competition,0,2,2,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R3,competition,0,2,3,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_0_R4,competition,0,2,4,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R1,competition,25,2,1,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R2,competition,25,2,2,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R3,competition,25,2,3,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
3_M10_25_R4,competition,25,2,4,CM+Ethanol,diploid,13,2,M10,d1H10,d1D9,d1E9,d1D10,d1E10,d1D11,d1E11,d1D12,d1E12,d1F1,d1G1,d1F2,d1G2,,,,,,,,,,
0_M11_0_R1,competition,0,0,1,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_0_R2,competition,0,0,2,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_0_R3,competition,0,0,3,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_0_R4,competition,0,0,4,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_25_R1,competition,25,0,1,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_25_R2,competition,25,0,2,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_25_R3,competition,25,0,3,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M11_25_R4,competition,25,0,4,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_0_R1,competition,0,2,1,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_0_R2,competition,0,2,2,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_0_R3,competition,0,2,3,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_0_R4,competition,0,2,4,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_25_R1,competition,25,2,1,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_25_R2,competition,25,2,2,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_25_R3,competition,25,2,3,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
3_M11_25_R4,competition,25,2,4,CM+Salt,diploid,13,2,M11,d1H10,d1F3,d1G3,d1F4,d1G4,d1F5,d1G5,d1F6,d1G6,d1F7,d1G7,d1F8,d1G8,,,,,,,,,,
0_M2_0_R1,competition,0,0,1,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_0_R2,competition,0,0,2,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_0_R3,competition,0,0,3,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_0_R4,competition,0,0,4,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_25_R1,competition,25,0,1,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_25_R2,competition,25,0,2,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_25_R3,competition,25,0,3,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M2_25_R4,competition,25,0,4,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_0_R1,competition,0,2,1,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_0_R2,competition,0,2,2,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_0_R3,competition,0,2,3,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_0_R4,competition,0,2,4,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_25_R1,competition,25,2,1,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_25_R2,competition,25,2,2,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_25_R3,competition,25,2,3,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
3_M2_25_R4,competition,25,2,4,CM,haploid,11,2,M2,d1H10,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,,,
0_M3_0_R1,competition,0,0,1,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_0_R2,competition,0,0,2,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_0_R3,competition,0,0,3,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_0_R4,competition,0,0,4,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_25_R1,competition,25,0,1,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_25_R2,competition,25,0,2,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_25_R3,competition,25,0,3,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M3_25_R4,competition,25,0,4,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_0_R1,competition,0,2,1,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_0_R2,competition,0,2,2,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_0_R3,competition,0,2,3,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_0_R4,competition,0,2,4,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_25_R1,competition,25,2,1,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_25_R2,competition,25,2,2,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_25_R3,competition,25,2,3,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
3_M3_25_R4,competition,25,2,4,CM,diploid,11,2,M3,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,,,,,,,,,,,,
0_M4_0_R1,competition,0,0,1,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_0_R2,competition,0,0,2,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_0_R3,competition,0,0,3,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_0_R4,competition,0,0,4,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R1,competition,25,0,1,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R2,competition,25,0,2,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R3,competition,25,0,3,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R4,competition,25,0,4,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R1,competition,0,2,1,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R2,competition,0,2,2,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R3,competition,0,2,3,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R4,competition,0,2,4,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R1,competition,25,2,1,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R2,competition,25,2,2,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R3,competition,25,2,3,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R4,competition,25,2,4,CM,diploid,13,2,M4,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R1,competition,0,0,1,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R2,competition,0,0,2,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R3,competition,0,0,3,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R4,competition,0,0,4,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_25_R1,competition,25,0,1,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_25_R2,competition,25,0,2,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_25_R3,competition,25,0,3,CM,diploid,13,2,M5,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
